item,itemLabel,positionLabel,height,mass,genderLabel,followers
http://www.wikidata.org/entity/Q1406255,Ferhat Poyraz,savunma,,,erkek,
http://www.wikidata.org/entity/Q1406255,Ferhat Poyraz,savunma,,,erkek,
http://www.wikidata.org/entity/Q1406339,Ferit Cömert,savunma,,,erkek,
http://www.wikidata.org/entity/Q248064,Zülküf Özer,kaleci,,,erkek,
http://www.wikidata.org/entity/Q272727,Çağdaş Atan,stoper,183,77,erkek,53158
http://www.wikidata.org/entity/Q250519,Ertuğrul Sağlam,Forvet,,,erkek,
http://www.wikidata.org/entity/Q264949,Tolga Ciğerci,orta saha,185,75,erkek,
http://www.wikidata.org/entity/Q187232,Zekeriya Alp,savunma,,,erkek,
http://www.wikidata.org/entity/Q272739,Çağrı Yarkın,Forvet,,,erkek,
http://www.wikidata.org/entity/Q187285,Zeki Yıldırım,orta saha,,77,erkek,
http://www.wikidata.org/entity/Q185249,Yüksel Sariyar,orta saha,,,erkek,
http://www.wikidata.org/entity/Q1499558,Gökhan Güleç,Forvet,,,erkek,
http://www.wikidata.org/entity/Q187264,Zeki Korkmaz,orta saha,,,erkek,
http://www.wikidata.org/entity/Q117361,Ali Zorlu,Forvet,,,erkek,
http://www.wikidata.org/entity/Q192974,Hakan Şükür,Forvet,191,,erkek,
http://www.wikidata.org/entity/Q1441174,Hasan Vural,savunma,,,erkek,
http://www.wikidata.org/entity/Q63720,Serdar Taşçı,savunma,186,80,erkek,
http://www.wikidata.org/entity/Q96890,Robin Yalçın,orta saha,183,75,erkek,
http://www.wikidata.org/entity/Q262203,Fatih Terim,savunma,172,,erkek,
http://www.wikidata.org/entity/Q122346,Hakan Yakın,kanat,180,78,erkek,
http://www.wikidata.org/entity/Q1422367,Hakan Arslan,orta saha,,76,erkek,
http://www.wikidata.org/entity/Q140168,Zafer Özgültekin,kaleci,183,,erkek,
http://www.wikidata.org/entity/Q64785,Ümit Ergirdi,orta saha,,,erkek,
