GPA,Repeat_Course_Num,Expected_GPA,Expected_Letter_Grade,Travel_Time,Do you have to work to cover your living expenses? ,Time_For_Study,Time_For_Hobbies,Time_For_Sports,Time_For_Socializing,Time_For_Entertainment,How would you describe your regular diet? ,"How many sugary drinks (coke, fruit juice, sweet hot drinks etc) do you consume a day ? ",Being good at Maths requires ,Being good at Programming requires ,Being good at Arts/Music requires ,Being good at Sports requires 
2.25,0,3.4,BA,12,No,16,10,7,20,10,3,1,3,3,2,4
3.3,0,4.0,AA,75,Yes,30,0,6,168,0,4,1,5,5,5,5
2.69,0,3.0,CB,120,No,20,5,1,10,10,3,1,3,3,5,3
0.0,0,3.5,AA,10,No,20,10,10,15,13,2,1,3,4,2,5
2.8,0,3.0,BB,10,No,10,10,15,5,10,4,1,2,3,1,1
2.99,1,3.0,AA,45,No,12,4,4,12,4,3,1,2,4,2,3
2.45,2,3.0,AA,25,No,20,10,3,30,30,2,4,2,2,2,3
2.07,1,3.11,AA,35,No,16,10,5,16,13,2,2,4,4,3,3
2.64,0,3.1,AA,10,No,5,2,2,10,3,3,1,2,4,1,2
3.44,0,3.0,BA,75,No,20,7,5,15,25,3,2,2,4,1,3
2.0,3,3.0,DD,60,No,7,3,0,8,4,2,2,4,5,1,4
3.2,0,3.5,AA,120,No,4,3,3,8,15,2,1,2,3,4,4
2.3,1,3.2,BA,18,No,48,4,3,6,10,2,1,3,4,2,2
3.5,0,3.7,AA,80,No,5,10,10,20,5,3,5,5,5,5,5
2.13,0,3.0,BB,10,No,6,6,8,6,1,2,2,3,4,4,2
3.72,0,3.8,AA,15,No,20,10,6,6,2,3,2,4,4,3,4
2.6,1,3.2,BA,30,No,25,30,10,16,13,3,1,3,4,3,4
2.36,1,3.32,BA,15,No,45,8,2,8,6,3,1,3,2,2,2
2.09,0,3.0,BA,15,No,10,30,10,15,8,4,3,4,4,3,2
3.5,0,3.5,AA,120,No,45,5,2,5,2,1,3,4,4,2,2
2.39,2,3.2,AA,45,No,5,10,0,10,0,2,2,4,3,2,4
2.5,0,3.2,BB,10,No,5,1,7,7,8,4,1,2,4,5,3
2.52,1,3.2,AA,100,No,16,12,8,18,8,4,1,2,4,2,4
2.3,0,3.0,BA,78,No,4,2,2,6,0,3,2,3,4,1,2
3.02,0,3.5,BA,15,No,16,10,5,16,13,3,2,3,4,3,3
3.22,0,2.85,BB,12,No,15,7,3,5,50,2,1,3,5,2,3
3.31,2,3.0,BA,100,No,15,5,2,2,15,4,1,4,5,1,5
3.2,0,2.5,BB,5,Yes,0,20,15,30,5,4,1,1,3,2,4
2.06,2,3.0,BB,90,No,8,5,4,25,15,2,1,2,5,3,5
3.12,0,3.5,AA,6,No,24,35,7,10,35,2,1,3,4,1,2
3.11,1,3.3,BA,10,No,40,6,0,18,12,3,1,3,4,3,3
2.74,3,3.35,CB,15,Yes,18,18,8,22,21,2,3,2,4,2,2
2.99,0,3.4,BB,15,No,16,50,1,2,3,2,1,4,5,2,3
3.25,0,3.6,AA,20,No,10,10,4,15,14,2,1,2,4,2,4
3.75,0,3.3,AA,70,No,10,14,5,14,16,3,2,3,4,2,3
2.83,1,3.5,BA,40,No,3,16,8,16,16,4,2,5,5,3,3
3.95,0,3.8,AA,50,No,5,5,2,18,70,3,3,4,5,1,3
3.51,0,3.3,BA,75,Yes,20,7,6,20,6,3,1,2,3,3,4
3.77,1,3.5,BA,10,No,15,10,10,10,7,2,1,1,4,1,2
3.48,0,3.5,BA,10,No,12,8,2,7,4,3,2,4,3,1,4
3.43,0,3.4,BA,90,No,9,7,0,3,40,4,2,4,2,5,2
2.46,0,3.3,AA,10,No,20,1,2,10,10,3,1,3,3,4,4
3.32,0,3.5,BA,80,No,8,6,3,20,30,4,1,3,3,2,2
3.3,1,3.0,AA,60,No,16,6,1,30,5,3,1,4,4,3,3
2.89,3,2.7,BA,17,No,3,25,4,12,2,2,1,4,5,3,5
2.07,0,2.5,BB,10,No,10,5,0,10,10,2,1,4,4,3,5
3.0,0,3.5,BA,30,No,28,7,10,18,10,4,1,4,5,4,5
2.59,0,3.0,BA,15,No,10,10,2,5,15,2,1,4,3,3,3
